case_id,operator_id,operator,hardware,method,status,reason,latency_us,mode
train:matmul|h200|tilesim,train:matmul,MatMul,h200,tilesim,unsupported,TileSim 的 H200 配置缺少 BF16 计算/向量参数；未改用 FP16,,
train:matmul|h200|method3,train:matmul,MatMul,h200,method3,not_connected,尚未配置评估组件,,
train:matmul|h200|method4,train:matmul,MatMul,h200,method4,not_connected,尚未配置评估组件,,
train:matmul|b200|profile,train:matmul,MatMul,b200,profile,not_connected,尚未接入实测参考,,
train:matmul|b200|roofline,train:matmul,MatMul,b200,roofline,succeeded,,0.32767999999999997,roofline
train:matmul|b200|tilesim,train:matmul,MatMul,b200,tilesim,unsupported,TileSim 的 GB200 配置缺少 BF16 计算/向量参数；未改用 FP16,,
train:matmul|b200|method3,train:matmul,MatMul,b200,method3,not_connected,尚未配置评估组件,,
train:matmul|b200|method4,train:matmul,MatMul,b200,method4,not_connected,尚未配置评估组件,,
train:matmul|b300|profile,train:matmul,MatMul,b300,profile,not_connected,尚未接入实测参考,,
train:matmul|b300|roofline,train:matmul,MatMul,b300,roofline,succeeded,,0.32767999999999997,roofline
train:matmul|b300|tilesim,train:matmul,MatMul,b300,tilesim,unsupported,TileSim 的 H200 配置缺少 BF16 计算/向量参数；未改用 FP16,,
train:matmul|b300|method3,train:matmul,MatMul,b300,method3,not_connected,尚未配置评估组件,,
train:matmul|b300|method4,train:matmul,MatMul,b300,method4,not_connected,尚未配置评估组件,,
train:matmul|r200|profile,train:matmul,MatMul,r200,profile,not_connected,尚未接入实测参考,,
train:matmul|r200|roofline,train:matmul,MatMul,r200,roofline,succeeded,,0.134217728,roofline
train:matmul|r200|tilesim,train:matmul,MatMul,r200,tilesim,unsupported,TileSim 的 R200 配置缺少 BF16 计算/向量参数；未改用 FP16,,
train:matmul|r200|method3,train:matmul,MatMul,r200,method3,not_connected,尚未配置评估组件,,
train:matmul|r200|method4,train:matmul,MatMul,r200,method4,not_connected,尚未配置评估组件,,
train:matmul|modeling:Adevice03_POD|profile,train:matmul,MatMul,modeling:Adevice03_POD,profile,not_connected,尚未接入实测参考,,
train:matmul|modeling:Adevice03_POD|roofline,train:matmul,MatMul,modeling:Adevice03_POD,roofline,succeeded,,1.6384,roofline
train:matmul|modeling:Adevice03_POD|tilesim,train:matmul,MatMul,modeling:Adevice03_POD,tilesim,succeeded,,4.441526814082755,dsl-eng
train:matmul|modeling:Adevice03_POD|method3,train:matmul,MatMul,modeling:Adevice03_POD,method3,not_connected,尚未配置评估组件,,
train:matmul|modeling:Adevice03_POD|method4,train:matmul,MatMul,modeling:Adevice03_POD,method4,not_connected,尚未配置评估组件,,
train:matmul|modeling:Adevice03_Server|profile,train:matmul,MatMul,modeling:Adevice03_Server,profile,not_connected,尚未接入实测参考,,
train:matmul|modeling:Adevice03_Server|roofline,train:matmul,MatMul,modeling:Adevice03_Server,roofline,succeeded,,1.6384,roofline
train:matmul|modeling:Adevice03_Server|tilesim,train:matmul,MatMul,modeling:Adevice03_Server,tilesim,succeeded,,4.441526814082755,dsl-eng
